Entity,Code,Year,Primary energy consumption per capita (kWh/person)
Luxembourg,LUX,1965,126758.46
Luxembourg,LUX,1966,120243.195
Luxembourg,LUX,1967,117566.5
Luxembourg,LUX,1968,126592.32
Luxembourg,LUX,1969,135742.5
Luxembourg,LUX,1970,140505.88
Luxembourg,LUX,1971,134056.19
Luxembourg,LUX,1972,136599.33
Luxembourg,LUX,1973,143516.44
Luxembourg,LUX,1974,144833.12
Luxembourg,LUX,1975,119533.805
Luxembourg,LUX,1976,118974.055
Luxembourg,LUX,1977,110312.9
Luxembourg,LUX,1978,113875.42
Luxembourg,LUX,1979,116450.016
Luxembourg,LUX,1980,107111.32
Luxembourg,LUX,1981,91424.16
Luxembourg,LUX,1982,85528.89
Luxembourg,LUX,1983,79860.55
Luxembourg,LUX,1984,85962.67
Luxembourg,LUX,1985,88105.49
Luxembourg,LUX,1986,85730.36
Luxembourg,LUX,1987,80508.82
Luxembourg,LUX,1988,81866.49
Luxembourg,LUX,1989,93158.375
Luxembourg,LUX,1990,97439.53
Luxembourg,LUX,1991,103333.91
Luxembourg,LUX,1992,102274.27
Luxembourg,LUX,1993,102264.53
Luxembourg,LUX,1994,97028.69
Luxembourg,LUX,1995,83246.695
Luxembourg,LUX,1996,84460.58
Luxembourg,LUX,1997,81638.43
Luxembourg,LUX,1998,77878.61
Luxembourg,LUX,1999,81191.305
Luxembourg,LUX,2000,85402.43
Luxembourg,LUX,2001,90348.625
Luxembourg,LUX,2002,97735.35
Luxembourg,LUX,2003,101260.22
Luxembourg,LUX,2004,113106.16
Luxembourg,LUX,2005,113049.23
Luxembourg,LUX,2006,109285.4
Luxembourg,LUX,2007,104455.21
Luxembourg,LUX,2008,101834.57
Luxembourg,LUX,2009,95591.98
Luxembourg,LUX,2010,98832.99
Luxembourg,LUX,2011,94211.61
Luxembourg,LUX,2012,90375.62
Luxembourg,LUX,2013,84137.46
Luxembourg,LUX,2014,79619.14
Luxembourg,LUX,2015,75576.625
Luxembourg,LUX,2016,72784.555
Luxembourg,LUX,2017,74384.77
Luxembourg,LUX,2018,76376.74
Luxembourg,LUX,2019,76273.7
Luxembourg,LUX,2020,64309.535
Luxembourg,LUX,2021,67594.57
Luxembourg,LUX,2022,59857.266
Luxembourg,LUX,2023,57341.914